"ID"	"hera_1"	"buddy_11"	"hera_11"	"jarjarbinks_11"	"padme_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"jarjarbinks_15"	"buddy_16"	"buddy_17"	"iris_17"	"lambchop_17"	"padme_17"	"buddy_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"lambchop_18"	"franc_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hera_20"	"iris_20"	"buddy_21"	"jarjarbinks_21"	"franc_22"	"goose_22"	"grogu_22"	"hera_22"	"iris_22"	"iris_23"	"franc_24"	"goose_24"	"grogu_24"	"hera_24"	"lambchop_25"	"jarjarbinks_29"	"jarjarbinks_3"	"jarjarbinks_32"	"grogu_36"	"franc_37"	"goose_37"	"grogu_37"	"hera_37"	"lambchop_37"	"goose_4"	"grogu_41"	"hera_41"	"goose_42"	"grogu_42"	"lambchop_42"	"buddy_44"	"franc_44"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"buddy_45"	"franc_45"	"grogu_45"	"hera_45"	"jarjarbinks_45"	"buddy_46"	"goose_46"	"iris_46"	"lambchop_46"	"franc_47"	"buddy_48"	"franc_48"	"grogu_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"lambchop_48"	"franc_49"	"iris_49"	"jarjarbinks_49"	"padme_5"	"buddy_50"	"franc_50"	"grogu_50"	"jarjarbinks_50"	"lambchop_50"	"franc_51"	"lambchop_51"	"buddy_52"	"goose_52"	"grogu_52"	"jarjarbinks_52"	"franc_53"	"hera_53"	"iris_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"buddy_57"	"goose_58"	"goose_59"	"iris_59"	"padme_6"	"iris_60"	"hera_67"	"franc_68"	"jarjarbinks_68"	"hera_7"	"iris_7"	"padme_7"	"grogu_70"	"franc_9"	"grogu_9"
"f__Selenomonadaceae"	1470	877	1748	699	1437	1818	822	593	1051	74	601	924	848	0	966	705	769	622	1058	797	78	261	13	721	393	1569	794	491	745	721	61	560	1712	944	734	772	580	656	1382	1050	904	932	31	814	554	11	590	365	0	50	1380	607	134	542	411	376	818	1099	43	839	828	567	1233	410	378	346	198	738	1177	743	375	439	36	473	965	439	871	392	948	373	101	289	1243	233	405	1209	725	1299	862	849	111	479	739	893	1017	665	578	712	103	547	674	584	404	69	177	1747	999	661	1367	1330	101	200	352	544
"f__Acidaminococcaceae"	809	591	290	691	300	605	455	835	574	64	780	877	0	2	138	1015	752	752	0	728	278	63	203	611	1357	521	639	650	609	432	416	1043	465	568	608	962	458	964	1023	653	737	1302	234	711	1027	157	809	767	0	263	688	792	366	1052	863	454	477	463	81	1214	756	549	314	559	189	537	913	654	575	464	406	663	114	1032	667	663	678	596	609	693	581	847	706	521	760	816	588	498	640	642	420	1119	633	1309	790	415	262	713	305	833	724	908	954	398	713	549	457	606	695	1548	257	51	95	801
"f__Succinivibrionaceae"	41	76	30	66	22	38	23	32	33	10	143	37	0	1	2432	30	24	932	0	11	19	10	2371	259	62	23	430	309	28	219	3201	1192	16	5	23	343	852	29	2	504	106	659	3436	95	417	3579	24	604	0	3429	78	562	2508	60	1340	98	220	25	859	158	860	80	809	20	15	1257	383	29	109	71	2505	97	3530	24	36	182	383	150	11	144	14	798	84	2664	147	146	51	65	1175	422	2955	54	16	24	20	56	863	48	3145	1466	540	546	30	3	26	14	378	272	43	65	9	2	4	71
"f__Veillonellaceae"	335	496	154	70	36	165	206	109	159	176	653	586	339	1	0	644	545	378	1587	627	70	85	9	1023	443	625	275	1293	640	585	44	11	713	897	498	414	498	480	456	432	803	1221	34	401	459	38	280	633	17	53	219	810	222	401	273	145	1507	437	63	248	265	809	875	279	55	176	383	429	214	1519	167	844	79	385	680	427	1270	940	1221	673	350	198	498	265	1450	450	701	1093	411	978	117	1026	934	362	736	289	241	455	57	284	1038	797	600	282	333	972	815	595	738	1790	86	35	265	905
"f__Prevotellaceae"	447	642	21	52	113	66	293	136	84	1954	338	353	0	2	1	92	517	397	0	664	1506	239	197	379	65	289	547	362	819	466	22	671	306	812	714	506	603	159	734	201	271	680	32	682	613	32	184	494	1	20	168	471	355	1356	339	1	102	425	1607	1062	886	660	111	244	35	920	986	445	1304	363	215	650	40	132	434	340	382	524	360	327	510	165	474	31	284	952	700	777	301	537	76	289	670	55	310	2078	121	18	36	336	277	420	519	530	599	23	343	388	178	737	287	2355	83	473
"f__Lachnospiraceae"	402	220	604	436	396	363	245	836	1161	43	214	542	0	7	48	476	345	377	0	494	110	98	15	643	703	435	139	313	649	624	91	282	244	399	512	550	341	472	3	504	848	1085	75	731	495	97	555	579	0	89	441	456	258	125	237	360	586	480	48	222	140	518	234	382	389	171	378	404	77	404	121	533	85	694	497	461	237	768	426	1125	190	199	446	186	437	132	438	82	253	311	131	595	387	541	606	84	228	725	126	198	136	412	629	334	518	391	435	513	436	1644	485	17	144	290
"f__Enterobacteriaceae"	6	817	342	438	360	149	0	53	92	0	184	0	2746	3883	279	4	0	74	1157	334	2	5	17	2	27	0	0	99	57	663	1	0	0	0	166	90	467	2	167	280	16	1172	0	2	164	0	3	260	5362	0	155	53	28	10	1	0	100	0	25	5	1	133	14	30	2570	0	1	118	10	3	0	0	0	85	0	1065	9	0	1	163	2010	1150	0	0	83	16	0	1	3	1	0	26	0	49	0	50	1523	0	0	2	366	80	0	1942	4	1	311	211	0	0	2193	461	2997	94
"f__Bacteroidaceae"	290	82	310	533	208	478	1400	895	464	221	279	418	1	7	21	817	589	252	0	119	979	1133	835	153	754	235	185	286	189	136	141	86	292	141	360	135	35	980	150	179	131	356	126	218	84	51	1031	83	2	54	566	70	38	142	271	977	24	442	151	63	114	334	67	1497	205	283	316	518	159	196	40	332	65	881	292	136	54	255	140	188	120	65	288	38	130	73	305	40	113	99	120	110	149	312	196	147	72	946	161	97	62	84	381	207	836	90	76	212	303	226	283	284	10	569
"f__Sutterellaceae"	62	79	25	41	38	84	63	44	30	522	160	30	13	0	95	79	40	71	102	51	750	463	255	127	40	61	90	51	111	64	5	137	22	27	148	85	60	47	50	65	87	197	10	50	99	9	69	113	2	13	87	119	32	96	26	357	44	92	605	45	97	160	32	61	20	75	240	82	183	72	73	112	12	47	67	117	75	124	76	92	32	42	109	8	128	96	136	76	36	107	16	67	69	39	78	104	45	118	7	70	120	101	121	29	91	15	103	115	122	174	41	412	28	59
"f__Tannerellaceae"	12	10	13	49	49	15	153	105	60	95	6	105	0	1	0	37	153	72	0	60	42	384	38	40	58	60	6	101	43	52	8	0	114	56	95	74	57	54	1	86	51	204	10	65	46	13	85	59	0	8	37	40	29	50	63	29	13	291	197	20	36	120	132	78	26	137	73	406	47	104	19	237	22	68	175	92	28	160	97	137	40	43	119	26	131	11	220	12	87	31	24	170	362	22	64	46	28	85	27	54	16	40	184	84	492	15	38	104	16	129	91	20	8	18
