"ID"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"goose_24"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"lambchop_25"	"buddy_44"	"franc_44"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"henry_48"	"ivy_48"	"joans_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"charles_51"	"franc_51"	"joans_51"	"buddy_52"	"charles_52"	"ginger_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"
"txid2014528"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"txid1852385"	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"txid2003188"	3	1	0	2	1	3	2	1	1	0	1	3	0	1	0	2	0	1	0	2	0	2	0	5	0	0	1	2	1	2	0	0	0	1	0	0	1	0	0	0	6	2	0	1	1	1	1	0	2	7	1	0	0	0	1	0	1	0	2	0	2	0	0	0	0	0	0	2	0	1	0	0	0	2	1	0	3	1	1	0	0	2	0	0	2	0	0	1	1	0	1	0	1	0	0	2	4	0	0	1	0	1
"txid1871022"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"txid1871031"	6	2	0	3	0	2	1	0	3	0	4	0	2	3	2	0	0	1	1	0	2	1	0	1	2	0	0	0	0	0	1	0	1	1	1	0	1	5	5	1	0	1	3	1	1	0	1	0	2	2	1	2	0	1	0	1	5	0	2	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0	2	0	2	1	1	0	0	0	1	0	3	1	0	0	1	0	0	1	1	0	5	0	9	0	3	1	0
"txid1720204"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
"txid147207"	22	3	1	6	0	4	4	6	22	2	20	0	6	27	11	1	1	2	2	3	2	22	0	10	11	0	30	1	5	2	3	0	1	1	1	13	6	27	8	0	1	18	37	14	8	0	2	1	6	47	0	15	0	3	16	4	29	1	1	9	1	26	2	1	0	4	0	74	2	1	2	0	2	6	1	4	0	7	61	1	2	4	0	2	2	11	36	2	16	0	1	0	6	3	1	298	21	6	4	13	4	0
"txid1937461"	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	1	0	1	0	0	2	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0
"txid147206"	0	1	1	1	0	0	0	0	29	0	8	0	2	1	4	0	0	0	0	0	0	0	0	0	8	0	0	0	2	0	1	0	2	0	0	1	0	2	2	1	0	0	2	7	1	0	2	0	0	24	2	1	0	2	1	0	1	0	2	1	0	4	1	0	0	1	0	22	0	0	1	0	0	1	0	1	0	3	1	0	0	2	0	0	0	0	12	0	0	0	1	0	7	2	0	8	4	1	0	0	1	0
"txid742742"	2	1	0	3	0	2	1	8	9	1	8	0	1	5	2	3	2	4	1	2	1	7	0	9	0	0	10	2	0	1	1	0	0	3	1	48	3	7	1	0	4	13	16	21	7	4	4	1	6	36	3	9	1	3	13	1	61	1	9	3	5	4	3	1	3	9	0	74	1	3	2	2	5	8	2	3	0	7	23	2	1	3	0	1	10	8	22	0	15	1	4	0	15	1	0	24	43	2	4	1	2	1
